"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","1","3","0","0","0"
"","","Remove product from cart","0","0","1","0","0"
"","","Verify first product details","0","0","0","1","0"
"","","Cannot checkout empty cart","1","0","0","0","0"
"","","Add product to cart","0","0","1","1","0"
"","","Empty username login","0","0","0","1","0"
"","","Display product list","0","0","0","1","0"
"","","Locked-out user login","0","0","0","1","0"
"","","Proceed to checkout","0","0","1","0","0"
"","","End-to-end checkout flow","0","0","0","1","0"
"","","Logout after login","0","0","0","1","0"
"","","Invalid login attempt","0","0","0","1","0"
"","","Empty password login","0","0","0","1","0"
"","","Login with valid credentials","0","0","0","1","0"
"","","Empty cart message","0","0","1","0","0"
